/static/assets/win.mp3:1  Failed to load resource: the server responded with a status of 404 (Not Found)
 Moles updated, visible moles: 2, Game Time: 11.65s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.67s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.68s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.70s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.72s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.73s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.75s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.77s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.78s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.80s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.82s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.83s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.85s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.87s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.88s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.90s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.92s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.93s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.95s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.97s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 11.98s, Max Visible: 2, Max Appear Duration: 1520ms
 Moles updated, visible moles: 2, Game Time: 12.00s, Max Visible: 2, Max Appear Duration: 1520ms
